id,date,text,target
0,2009-06-20,My concealer just broke! ,0
1,2009-06-21,Mommy leaves soon ,0
2,2009-06-03,@Boogaloo1 Not here it ain't!  I've got an epic poddy walk planned for tomorrow too...Xxx,0
3,2009-06-16,I want my Blackberry back!! ,0
4,2009-06-16,@Veganluke I can't even skype  still dont have my laptop. but yeah me and my boyfriend broke up.,0
5,2009-06-15,having problems with my macbook trackpad...might be goin to the apple shop to find out whats wrong... ,0
6,2009-06-19,goen to bed now... soo burnt!  gotta be at aspen at 10... getting my physical fitness on... gotta get skinny 4 LA lol,0
7,2009-06-05,stupid counselors... ,0
8,2009-06-22,"Jogging, isnt REALLY that cool, especially if you've got a fever ",0
9,2009-05-29,@AwesomeKenn lame right?  do u know what dates you'll be in Cali?,0
10,2009-06-01,Eurgh sleepy and do not want to be working ,0
11,2009-04-19,J G Ballard is dead. What a loss for the world of literature. ,0
12,2009-05-30,@jetowey feeling very blue about the whole thing. Might put it on the back burner and write something more commercial ,0
13,2009-06-20,I think the worst thing about today was seeing everyone cry. ,0
14,2009-06-18,@Ericamora2 omg i just saw what i wrote! its cuz this comp. is slow so i cant see it until after. gosh u guys are mean!! ,0
15,2009-06-03,"I am starting to get hungry again, and we have no milk at work, that sucks alot. I want milk to my coffe. ",0
16,2009-06-25,Ugh. that was least sleep-filled night i've had in a long time. today will obv be a v productive day ,0
17,2009-05-04,@yomcat gonna have to be a no from me sorry - i dont have the cash atm. ,0
18,2009-06-20,@Heliproz what's up with the &quot;Add to wish list&quot; link? It doesn't work ,0
19,2009-06-01,i missmy old bestfreind/prince robbie ,0
20,2009-05-10,too bloody tired today... ,0
21,2009-06-16,@DonnieWahlberg I remember the news about it ,0
22,2009-06-16,"@GeminiTwisted I know!  But look at jones beach, there were lots of empty seats  And he gave away SO many at the today show, and that day.",0
23,2009-06-01,be careful what you wish for.. he gets to stay and i get to leave.. everyones wishes come true ,0
24,2009-06-20,@kttunstall i lost Eye to the Telescope. Disaster! ,0
25,2009-05-31,Couldn't make time to go get my hair done this week so now I'm stuck under the dryer ,0
26,2009-06-01,has mono ,0
27,2009-06-20,"@mallycakes THE WORLD DOESN'T REVOLVE AROUND YOU, BETCH. LOL jaykay. I'm just checking some CL e-mails I have no time ",0
28,2009-06-01,"@LaurenConrad , very bummed !! I live in CT and there was no audio!! ",0
29,2009-05-21,@daniellemhicks I know. such a cutie even when crying.  ,0
30,2009-05-14,Trying to coax little Linux netbook into playing #digitalplanet... may have to wait until I get home ,0
31,2009-04-20,"@justads Oh wow! How cool is that... Shame if you don't exactly sound like the song though, right? ",0
32,2009-06-07,Revisingggg for Business Studies Test on Tuesdayy! ,0
33,2009-06-02,"I predicted Forza3 would be at e3 and amaze, nice. ODST looks same old, shame. Creed2 set in shite time  but new SW:Tor trailer is all wow",0
34,2009-04-20,wants to go home already!!!! still in QC  http://plurk.com/p/p4ynm,0
35,2009-06-16,@tommygunn01 exactly - much better than my answer. Now I'm off to cry  LOL,0
